searge,mcp,side,desc
field_193130_A,USED_TOTEM,2,
field_193131_B,NETHER_TRAVEL,2,
field_192147_a,criterionInstance,2,
field_192147_a,criterionInstance,2,
field_192155_a,DATE_TIME_FORMATTER,2,
field_192156_b,advancementProgress,2,
field_192157_c,obtained,2,
field_192155_a,DATE_TIME_FORMATTER,2,
field_192156_b,advancementProgress,2,
field_192157_c,obtained,2,
field_192160_a,criterionInstance,2,
field_192161_b,advancement,2,
field_192162_c,criterionName,2,
field_192160_a,criterionInstance,2,
field_192161_b,advancement,2,
field_192162_c,criterionName,2,
field_192300_a,title,2,
field_193225_b,description,2,
field_192301_b,icon,2,
field_192302_c,background,2,
field_192303_d,frame,2,
field_193226_f,showToast,2,
field_193227_g,announceToChat,2,
field_193228_h,hidden,2,
field_192304_e,x,2,
field_192305_f,y,2,
field_192300_a,title,2,
field_193225_b,description,2,
field_192301_b,icon,2,
field_192302_c,background,2,
field_192303_d,frame,2,
field_193226_f,showToast,2,
field_193227_g,announceToChat,2,
field_193228_h,hidden,2,
field_192304_e,x,2,
field_192305_f,y,2,
TASK,TASK,2,
CHALLENGE,CHALLENGE,2,
GOAL,GOAL,2,
$VALUES,$VALUES,2,
field_192313_d,name,2,
field_192314_e,icon,2,
field_193230_f,format,2,
TASK,TASK,2,
CHALLENGE,CHALLENGE,2,
GOAL,GOAL,2,
field_192313_d,name,2,
field_192314_e,icon,2,
field_193230_f,format,2,
$VALUES,$VALUES,2,
field_192328_a,advancement,2,
field_192329_b,parent,2,
field_192330_c,sibling,2,
field_192331_d,index,2,
field_192332_e,children,2,
field_192333_f,ancestor,2,
field_192334_g,thread,2,
field_192335_h,x,2,
field_192336_i,y,2,
field_192337_j,mod,2,
field_192338_k,change,2,
field_192339_l,shift,2,
field_192328_a,advancement,2,
field_192329_b,parent,2,
field_192330_c,sibling,2,
field_192331_d,index,2,
field_192332_e,children,2,
field_192333_f,ancestor,2,
field_192334_g,thread,2,
field_192335_h,x,2,
field_192336_i,y,2,
field_192337_j,mod,2,
field_192338_k,change,2,
field_192339_l,shift,2,
field_192245_a,criterion,2,
field_192245_a,criterion,2,
field_192171_a,ID,2,
field_192172_b,listeners,2,
field_192171_a,ID,2,
field_192172_b,listeners,2,
field_192344_a,playerAdvancements,2,
field_192345_b,listeners,2,
field_192344_a,playerAdvancements,2,
field_192345_b,listeners,2,
field_192247_a,parent,2,
field_192248_b,partner,2,
field_192249_c,child,2,
field_192247_a,parent,2,
field_192248_b,partner,2,
field_192249_c,child,2,
field_192176_a,ID,2,
field_192177_b,listeners,2,
field_192176_a,ID,2,
field_192177_b,listeners,2,
field_192350_a,playerAdvancements,2,
field_192351_b,listeners,2,
field_192350_a,playerAdvancements,2,
field_192351_b,listeners,2,
field_192251_a,potion,2,
field_192251_a,potion,2,
field_193144_a,ID,2,
field_193145_b,listeners,2,
field_193144_a,ID,2,
field_193145_b,listeners,2,
field_193235_a,playerAdvancements,2,
field_193236_b,listeners,2,
field_193235_a,playerAdvancements,2,
field_193236_b,listeners,2,
field_193191_a,from,2,
field_193192_b,to,2,
field_193191_a,from,2,
field_193192_b,to,2,
field_192181_a,ID,2,
field_192182_b,listeners,2,
field_192181_a,ID,2,
field_192182_b,listeners,2,
field_192356_a,playerAdvancements,2,
field_192357_b,listeners,2,
field_192356_a,playerAdvancements,2,
field_192357_b,listeners,2,
field_192253_a,level,2,
field_192253_a,level,2,
field_193149_a,ID,2,
field_193150_b,listeners,2,
field_193149_a,ID,2,
field_193150_b,listeners,2,
field_193241_a,playerAdvancements,2,
field_193242_b,listeners,2,
field_193241_a,playerAdvancements,2,
field_193242_b,listeners,2,
field_193194_a,item,2,
field_193194_a,item,2,
field_192186_a,ID,2,
field_192187_b,listeners,2,
field_192186_a,ID,2,
field_192187_b,listeners,2,
field_192362_a,playerAdvancements,2,
field_192363_b,listeners,2,
field_192362_a,playerAdvancements,2,
field_192363_b,listeners,2,
field_192255_a,zombie,2,
field_192256_b,villager,2,
field_192255_a,zombie,2,
field_192256_b,villager,2,
field_192366_a,ANY,2,
field_192367_b,dealt,2,
field_192368_c,taken,2,
field_192369_d,sourceEntity,2,
field_192370_e,blocked,2,
field_192371_f,type,2,
field_192366_a,ANY,2,
field_192367_b,dealt,2,
field_192368_c,taken,2,
field_192369_d,sourceEntity,2,
field_192370_e,blocked,2,
field_192371_f,type,2,
field_192449_a,ANY,2,
field_192450_b,isProjectile,2,
field_192451_c,isExplosion,2,
field_192452_d,bypassesArmor,2,
field_192453_e,bypassesInvulnerability,2,
field_192454_f,bypassesMagic,2,
field_192455_g,isFire,2,
field_192456_h,isMagic,2,
field_193419_i,directEntity,2,
field_193420_j,sourceEntity,2,
field_192449_a,ANY,2,
field_192450_b,isProjectile,2,
field_192451_c,isExplosion,2,
field_192452_d,bypassesArmor,2,
field_192453_e,bypassesInvulnerability,2,
field_192454_f,bypassesMagic,2,
field_192455_g,isFire,2,
field_192456_h,isMagic,2,
field_193419_i,directEntity,2,
field_193420_j,sourceEntity,2,
field_193423_a,ANY,2,
field_193424_b,x,2,
field_193425_c,y,2,
field_193426_d,z,2,
field_193427_e,horizontal,2,
field_193428_f,absolute,2,
field_193423_a,ANY,2,
field_193424_b,x,2,
field_193425_c,y,2,
field_193426_d,z,2,
field_193427_e,horizontal,2,
field_193428_f,absolute,2,
field_193154_a,ID,2,
field_193155_b,listeners,2,
field_193154_a,ID,2,
field_193155_b,listeners,2,
field_193433_a,playerAdvancements,2,
field_193434_b,listeners,2,
field_193433_a,playerAdvancements,2,
field_193434_b,listeners,2,
field_193196_a,effects,2,
field_193196_a,effects,2,
field_192191_a,ID,2,
field_192192_b,listeners,2,
field_192191_a,ID,2,
field_192192_b,listeners,2,
field_192461_a,playerAdvancements,2,
field_192462_b,listeners,2,
field_192461_a,playerAdvancements,2,
field_192462_b,listeners,2,
field_192258_a,item,2,
field_192259_b,levels,2,
field_192258_a,item,2,
field_192259_b,levels,2,
field_192466_a,ANY,2,
field_192467_b,enchantment,2,
field_192468_c,levels,2,
field_192466_a,ANY,2,
field_192467_b,enchantment,2,
field_192468_c,levels,2,
field_192196_a,ID,2,
field_192197_b,listeners,2,
field_192196_a,ID,2,
field_192197_b,listeners,2,
field_192473_a,playerAdvancements,2,
field_192474_b,listeners,2,
field_192473_a,playerAdvancements,2,
field_192474_b,listeners,2,
field_192261_a,block,2,
field_192262_b,properties,2,
field_192261_a,block,2,
field_192262_b,properties,2,
field_192201_a,ID,2,
field_192202_b,listeners,2,
field_192201_a,ID,2,
field_192202_b,listeners,2,
field_192479_a,playerAdvancements,2,
field_192480_b,listeners,2,
field_192479_a,playerAdvancements,2,
field_192480_b,listeners,2,
field_192264_a,damage,2,
field_192264_a,damage,2,
field_192483_a,ANY,2,
field_192484_b,type,2,
field_192485_c,distance,2,
field_193435_d,location,2,
field_193436_e,effects,2,
field_193437_f,nbt,2,
field_192483_a,ANY,2,
field_192484_b,type,2,
field_192485_c,distance,2,
field_193435_d,location,2,
field_193436_e,effects,2,
field_193437_f,nbt,2,
field_192205_a,ID,2,
field_192205_a,ID,2,
field_192209_a,ID,2,
field_192210_b,listeners,2,
field_192209_a,ID,2,
field_192210_b,listeners,2,
field_192490_a,playerAdvancements,2,
field_192491_b,listeners,2,
field_192490_a,playerAdvancements,2,
field_192491_b,listeners,2,
field_192266_a,occupied,2,
field_192267_b,full,2,
field_192268_c,empty,2,
field_192269_d,items,2,
field_192266_a,occupied,2,
field_192267_b,full,2,
field_192268_c,empty,2,
field_192269_d,items,2,
field_193159_a,ID,2,
field_193160_b,listeners,2,
field_193159_a,ID,2,
field_193160_b,listeners,2,
field_193442_a,playerAdvancements,2,
field_193443_b,listeners,2,
field_193442_a,playerAdvancements,2,
field_193443_b,listeners,2,
field_193198_a,item,2,
field_193199_b,durability,2,
field_193200_c,delta,2,
field_193198_a,item,2,
field_193199_b,durability,2,
field_193200_c,delta,2,
field_192495_a,ANY,2,
field_192496_b,item,2,
field_192497_c,data,2,
field_192498_d,count,2,
field_193444_e,durability,2,
field_192499_e,enchantments,2,
field_192500_f,potion,2,
field_193445_h,nbt,2,
field_192495_a,ANY,2,
field_192496_b,item,2,
field_192497_c,data,2,
field_192498_d,count,2,
field_193444_e,durability,2,
field_192499_e,enchantments,2,
field_192500_f,potion,2,
field_193445_h,nbt,2,
field_192213_a,listeners,2,
field_192214_b,id,2,
field_192213_a,listeners,2,
field_192214_b,id,2,
field_192505_a,playerAdvancements,2,
field_192506_b,listeners,2,
field_192505_a,playerAdvancements,2,
field_192506_b,listeners,2,
field_192271_a,entity,2,
field_192272_b,killingBlow,2,
field_192271_a,entity,2,
field_192272_b,killingBlow,2,
field_193164_a,ID,2,
field_193165_b,listeners,2,
field_193164_a,ID,2,
field_193165_b,listeners,2,
field_193450_a,playerAdvancements,2,
field_193451_b,listeners,2,
field_193450_a,playerAdvancements,2,
